,0,1
[ 0.04556461 -0.04412918  0.02777546 -0.0214211 ],0.0,0.1
[ 0.04468202  0.15058365  0.02734704 -0.30521277],0.0,0.1
[ 0.0476937   0.34530544  0.02124278 -0.5891472 ],0.1,0.0
[ 0.05459981  0.14989257  0.00945984 -0.28984913],0.0,0.1
[ 0.05759766  0.34487838  0.00366285 -0.5795336 ],0.0,0.1
[ 0.06449523  0.5399488  -0.00792782 -0.8710604 ],0.0,0.1
[ 0.0752942   0.7351777  -0.02534902 -1.1662252 ],0.1,0.0
[ 0.08999775  0.5403946  -0.04867353 -0.8815964 ],0.0,0.1
[ 0.10080565  0.73614275 -0.06630546 -1.1891751 ],0.1,0.0
[ 0.1155285   0.54193985 -0.09008896 -0.9179905 ],0.0,0.1
[ 0.1263673   0.7381567  -0.10844877 -1.2375724 ],0.1,0.0
[ 0.14113043  0.54458207 -0.13320021 -0.98073786],0.1,0.0
[ 0.15202208  0.3514725  -0.15281498 -0.73268455],0.0,0.1
[ 0.15905152  0.5483386  -0.16746867 -1.0692953 ],0.1,0.0
[ 0.1700183   0.35577926 -0.18885458 -0.8335032 ],0.0,0.1
[ 0.17713387  0.5529101  -0.20552464 -1.1791358 ],0.1,0.0
[ 0.18819208  0.3609615  -0.22910735 -0.95727223],0.0,0.0
[ 0.04461969  0.00340221  0.04172786 -0.03414229],0.1,0.0
[ 0.04468774 -0.19229251  0.04104501  0.2714087 ],0.0,0.1
[ 0.04084189  0.00222043  0.04647318 -0.00805114],0.0,0.1
[ 0.0408863   0.19664615  0.04631216 -0.28571662],0.1,0.0
[0.04481922 0.00089535 0.04059783 0.02120564],0.0,0.1
[ 0.04483712  0.19541228  0.04102194 -0.25839686],0.1,0.0
[ 0.04874537 -0.00027057  0.035854    0.04693756],0.1,0.0
[ 0.04873996 -0.19588782  0.03679276  0.35071367],0.0,0.1
[ 0.0448222  -0.0013079   0.04380703  0.06985595],0.0,0.1
[ 0.04479605  0.19315952  0.04520415 -0.20869018],0.1,0.0
[ 0.04865924 -0.00257868  0.04103034  0.09790268],0.1,0.0
[ 0.04860766 -0.19826393  0.0429884   0.40324306],0.1,0.0
[ 0.04464239 -0.39396837  0.05105326  0.7091632 ],0.1,0.0
[ 0.03676302 -0.5897589   0.06523652  1.0174694 ],0.1,0.0
[ 0.02496784 -0.785687    0.08558591  1.3299024 ],0.0,0.1
[ 0.0092541  -0.5917427   0.11218396  1.0651823 ],0.1,0.0
[-0.00258075 -0.78815603  0.13348761  1.3908633 ],0.0,0.1
[-0.01834388 -0.5949251   0.16130488  1.1427243 ],0.0,0.1
[-0.03024238 -0.40223563  0.18415935  0.90466046],0.0,0.1
[-0.03828709 -0.2100209   0.20225257  0.6750511 ],0.0,0.1
[-0.04248751 -0.01819815  0.21575359  0.45223966],0.0,0.0
[ 0.03598537  0.03179224 -0.00485961 -0.04072802],0.1,0.0
[ 0.03662121 -0.16325969 -0.00567417  0.2504177 ],0.0,0.1
[ 0.03335602  0.03194283 -0.00066581 -0.04404956],0.1,0.0
[ 0.03399488 -0.16316956 -0.00154681  0.24842322],0.0,0.1
[ 0.03073148  0.03197444  0.00342166 -0.0447472 ],0.1,0.0
[ 0.03137097 -0.16319641  0.00252672  0.24901332],0.0,0.1
[ 0.02810705  0.03188937  0.00750698 -0.04287155],0.0,0.1
[ 0.02874483  0.22690287  0.00664955 -0.33317652],0.1,0.0
[ 3.32828909e-02  3.16869095e-02 -1.39795975e-05 -3.84041108e-02],0.0,0.1
[ 0.03391663  0.22680905 -0.00078206 -0.33109143],0.1,0.0
[ 0.03845281  0.03169825 -0.00740389 -0.03865525],0.0,0.1
[ 0.03908677  0.22692558 -0.008177   -0.33366495],0.0,0.1
[ 0.04362528  0.42216295 -0.01485029 -0.62891525],0.1,0.0
[ 0.05206855  0.22725137 -0.0274286  -0.3409459 ],0.1,0.0
[ 0.05661357  0.03253019 -0.03424752 -0.057037  ],0.0,0.1
[ 0.05726418  0.22812603 -0.03538826 -0.36032552],0.1,0.0
[ 0.0618267   0.03352452 -0.04259477 -0.07900798],0.1,0.0
[ 0.06249719 -0.16096176 -0.04417493  0.19993775],0.0,0.1
[ 0.05927795  0.03476325 -0.04017617 -0.10634656],0.0,0.1
[ 0.05997322  0.23043723 -0.0423031  -0.4114293 ],0.0,0.1
[ 0.06458196  0.42613256 -0.05053169 -0.71714306],0.0,0.1
[ 0.07310461  0.62191606 -0.06487455 -1.0252935 ],0.1,0.0
[ 0.08554293  0.42771515 -0.08538042 -0.7536646 ],0.1,0.0
[ 0.09409723  0.23386762 -0.10045371 -0.48902386],0.0,0.1
[ 0.09877459  0.43025264 -0.11023419 -0.8116001 ],0.1,0.0
[ 0.10737965  0.23679945 -0.12646618 -0.5555249 ],0.0,0.1
[ 0.11211563  0.43344894 -0.13757668 -0.8852254 ],0.1,0.0
